Município;População;Urbana;Rural
Mato Grosso;3658649;3156529;502120
Acorizal (MT);5014;2989;2025
Água Boa (MT);29219;24523;4696
Alta Floresta (MT);58613;51412;7201
Alto Araguaia (MT);17193;15083;2110
Alto Boa Vista (MT);5715;3840;1875
Alto Garças (MT);13052;12091;961
Alto Paraguai (MT);8009;5359;2650
Alto Taquari (MT);10904;10290;614
Apiacás (MT);8590;6251;2339
Araguaiana (MT);3795;2539;1256
Araguainha (MT);1010;862;148
Araputanga (MT);14786;12541;2245
Arenápolis (MT);10576;9878;698
Aripuanã (MT);24626;18194;6432
Barão de Melgaço (MT);7253;3316;3937
Barra do Bugres (MT);29403;25283;4120
Barra do Garças (MT);69210;62270;6940
Bom Jesus do Araguaia (MT);7280;3850;3430
Brasnorte (MT);17004;10321;6683
Cáceres (MT);89681;79388;10293
Campinápolis (MT);15347;5707;9640
Campo Novo do Parecis (MT);45899;42905;2994
Campo Verde (MT);44585;38891;5694
Campos de Júlio (MT);8822;7041;1781
Canabrava do Norte (MT);4485;2782;1703
Canarana (MT);25858;20234;5624
Carlinda (MT);10332;6119;4213
Castanheira (MT);7506;3691;3815
Chapada dos Guimarães (MT);18990;12999;5991
Cláudia (MT);9593;7122;2471
Cocalinho (MT);6220;3978;2242
Colíder (MT);31370;26189;5181
Colniza (MT);25766;15428;10338
Comodoro (MT);18238;12807;5431
Confresa (MT);35075;27010;8065
Conquista D'Oeste (MT);3760;2456;1304
Cotriguaçu (MT);11011;5109;5902
Cuiabá (MT);650877;639724;11153
Curvelândia (MT);4903;3083;1820
Denise (MT);7014;6222;792
Diamantino (MT);21941;17536;4405
Dom Aquino (MT);7872;6249;1623
Feliz Natal (MT);10521;7442;3079
Figueirópolis D'Oeste (MT);3187;1952;1235
Gaúcha do Norte (MT);8642;3965;4677
General Carneiro (MT);6037;2671;3366
Glória D'Oeste (MT);2905;2027;878
Guarantã do Norte (MT);31024;26274;4750
Guiratinga (MT);10966;9084;1882
Indiavaí (MT);2213;1621;592
Ipiranga do Norte (MT);7815;5861;1954
Itanhangá (MT);7539;4650;2889
Itaúba (MT);5020;4096;924
Itiquira (MT);12236;8509;3727
Jaciara (MT);28569;25994;2575
Jangada (MT);7426;3696;3730
Jauru (MT);8367;5560;2807
Juara (MT);34906;28060;6846
Juína (MT);45869;36835;9034
Juruena (MT);10213;7473;2740
Juscimeira (MT);11480;7854;3626
Lambari D'Oeste (MT);4790;2963;1827
Lucas do Rio Verde (MT);83798;80626;3172
Luciara (MT);2509;1859;650
Marcelândia (MT);11396;8110;3286
Matupá (MT);20091;16131;3960
Mirassol d'Oeste (MT);26785;22670;4115
Nobres (MT);15492;13442;2050
Nortelândia (MT);5956;5015;941
Nossa Senhora do Livramento (MT);12940;5328;7612
Nova Bandeirantes (MT);13635;6544;7091
Nova Brasilândia (MT);3932;2801;1131
Nova Canaã do Norte (MT);11707;7409;4298
Nova Guarita (MT);4590;2928;1662
Nova Lacerda (MT);6670;3421;3249
Nova Marilândia (MT);3529;2484;1045
Nova Maringá (MT);5846;3696;2150
Nova Monte Verde (MT);8313;5031;3282
Nova Mutum (MT);55839;49471;6368
Nova Nazaré (MT);4200;1492;2708
Nova Olímpia (MT);16352;14716;1636
Nova Santa Helena (MT);4239;2671;1568
Nova Ubiratã (MT);11530;7932;3598
Nova Xavantina (MT);24345;20028;4317
Novo Horizonte do Norte (MT);3349;1968;1381
Novo Mundo (MT);6520;2650;3870
Novo Santo Antônio (MT);2015;1359;656
Novo São Joaquim (MT);6919;4183;2736
Paranaíta (MT);11671;7289;4382
Paranatinga (MT);26423;19043;7380
Pedra Preta (MT);18066;13921;4145
Peixoto de Azevedo (MT);32714;26397;6317
Planalto da Serra (MT);3166;2462;704
Poconé (MT);31217;23408;7809
Pontal do Araguaia (MT);6932;5899;1033
Ponte Branca (MT);2008;1740;268
Pontes e Lacerda (MT);52018;44796;7222
Porto Alegre do Norte (MT);12127;8439;3688
Porto dos Gaúchos (MT);5593;3391;2202
Porto Esperidião (MT);10204;5333;4871
Porto Estrela (MT);3224;1627;1597
Poxoréu (MT);23283;16262;7021
Primavera do Leste (MT);85146;81543;3603
Querência (MT);26769;20984;5785
Reserva do Cabaçal (MT);2122;1530;592
Ribeirão Cascalheira (MT);10089;6074;4015
Ribeirãozinho (MT);2593;2143;450
Rio Branco (MT);4535;3778;757
Rondolândia (MT);3505;1049;2456
Rondonópolis (MT);244911;236494;8417
Rosário Oeste (MT);15453;9846;5607
Salto do Céu (MT);3679;2067;1612
Santa Carmem (MT);5374;4305;1069
Santa Cruz do Xingu (MT);2661;1751;910
Santa Rita do Trivelato (MT);3276;1817;1459
Santa Terezinha (MT);7596;2989;4607
Santo Afonso (MT);2519;1440;1079
Santo Antônio de Leverger (MT);15246;9014;6232
Santo Antônio do Leste (MT);4099;2549;1550
São Félix do Araguaia (MT);13621;8022;5599
São José do Povo (MT);2875;1365;1510
São José do Rio Claro (MT);14911;12439;2472
São José do Xingu (MT);5964;4647;1317
São José dos Quatro Marcos (MT);17849;14264;3585
São Pedro da Cipa (MT);4191;3620;571
Sapezal (MT);28944;25470;3474
Serra Nova Dourada (MT);1800;859;941
Sinop (MT);196312;190451;5861
Sorriso (MT);110635;104672;5963
Tabaporã (MT);9818;5014;4804
Tangará da Serra (MT);106434;97939;8495
Tapurah (MT);14370;11135;3235
Terra Nova do Norte (MT);10616;6242;4374
Tesouro (MT);3025;2220;805
Torixoréu (MT);4164;3052;1112
União do Sul (MT);3838;3044;794
Vale de São Domingos (MT);2904;764;2140
Várzea Grande (MT);300078;296557;3521
Vera (MT);12800;10568;2232
Vila Bela da Santíssima Trindade (MT);16774;6394;10380
Vila Rica (MT);19888;14297;5591
